Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Minnesota Timberwolves*,82,241.5,39,86.8,0.45,11.4,32.3,0.354,27.6,54.5,0.506,17.1,21.9,0.781,10.3,31.2,41.4,24.5,7.5,4.5,14.2,19.9,106.5
2,New York Knicks*,82,240.6,40.3,85.7,0.47,12.5,34.3,0.365,27.8,51.4,0.54,15.1,19.8,0.764,10.2,30.4,40.6,25.6,6.7,5.3,13.2,19.1,108.2
3,Orlando Magic*,82,241.2,39.8,84,0.474,11.5,32.1,0.358,28.3,51.8,0.546,17.3,22.2,0.78,8.9,30.9,39.9,23.9,8.1,4.6,15,20.9,108.4
4,Miami Heat*,82,240.9,40.2,86,0.467,13,36.8,0.353,27.2,49.2,0.553,15,19.2,0.78,9.2,33.5,42.8,26.5,6.6,4.7,13.7,18.9,108.4
5,Boston Celtics*,82,241.8,41.5,91.6,0.453,12.9,36.7,0.352,28.6,55,0.52,13.3,17.3,0.768,11.1,32.3,43.3,24.9,6.2,3.7,12,17.3,109.2
6,Denver Nuggets*,82,240.3,40.6,87.9,0.462,11.2,31.5,0.355,29.4,56.4,0.522,17.1,22.2,0.772,10.9,31.4,42.3,25.7,7,4.8,12.4,17.9,109.6
7,Cleveland Cavaliers*,82,241.5,40.5,87.5,0.463,12.5,33.8,0.371,28,53.7,0.521,16.6,21,0.791,10,32.6,42.7,25.3,7.7,5,13.6,18.7,110.2
8,New Orleans Pelicans*,82,240.3,40.5,87.3,0.464,13.5,38.7,0.349,26.9,48.5,0.555,16.2,20.7,0.783,10.1,32.2,42.3,26.8,6.5,5.2,14.2,18.4,110.7
9,Philadelphia 76ers*,82,241.2,40.5,86.6,0.468,11.9,33.7,0.354,28.6,52.8,0.541,18.6,23.5,0.791,11,33.4,44.5,26.1,6.2,6.1,14.6,18.5,111.5
10,Los Angeles Clippers*,82,240.3,41.6,88.9,0.468,12.9,35.4,0.363,28.8,53.5,0.538,16.2,21,0.775,11.1,31.1,42.2,26.4,7.3,4.7,13,18.7,112.3
11,Oklahoma City Thunder*,82,241.5,40.6,89.3,0.455,13.4,37.2,0.361,27.2,52.1,0.522,18.1,22.9,0.789,11.8,32.9,44.7,26.9,7.1,5.1,15.7,18.9,112.7
12,Memphis Grizzlies,82,241.2,41.2,86.9,0.474,13.4,35.4,0.378,27.8,51.5,0.541,17,21.8,0.779,10.7,35,45.6,26.6,8.1,6.5,15.1,18.8,112.8
13,Houston Rockets,82,242.1,40.8,88.1,0.463,12.3,35.4,0.348,28.4,52.7,0.54,19.3,25.2,0.767,10.7,34.2,44.9,24.4,7.3,5.9,13.8,19.6,113.2
14,Phoenix Suns*,82,241.2,42,90.6,0.464,13.1,36,0.364,28.9,54.6,0.529,16.1,20.8,0.774,11,30.4,41.3,26.3,8.4,4.5,12.7,19.7,113.2
15,Brooklyn Nets,82,241.5,41.6,88.5,0.47,13,34.9,0.372,28.6,53.5,0.534,17.1,21.2,0.807,10.3,34,44.3,25.5,6.9,5,12.6,18.2,113.3
16,Chicago Bulls,82,243.7,41.1,87,0.473,14.6,39.5,0.37,26.5,47.5,0.558,16.9,21.8,0.776,10.1,33.3,43.4,27.9,6.8,4.9,14,18.8,113.7
17,Sacramento Kings,82,242.1,41.6,86.8,0.48,13.1,33.8,0.387,28.5,52.9,0.539,18.5,23.1,0.8,9.1,33.4,42.5,26.9,7.4,4.5,13.9,18.3,114.8
18,Golden State Warriors,82,241.8,42.1,90.4,0.466,13.3,37,0.359,28.8,53.5,0.539,17.7,22.4,0.788,10.9,32,42.9,26.7,7.7,5,13,17.9,115.2
19,Portland Trail Blazers,82,242.4,42.5,86.6,0.491,11.7,33.3,0.351,30.8,53.3,0.578,18.7,23.6,0.792,10.6,33.2,43.8,27.1,8.9,6.4,14.3,17.9,115.4
20,Dallas Mavericks*,82,240.3,43,90.4,0.475,13.1,35.6,0.368,29.8,54.8,0.545,16.6,21.6,0.77,10.9,34.1,45.1,27.5,7.4,4,13.7,20.3,115.6
21,Milwaukee Bucks*,82,241.5,43.2,91.9,0.47,12.6,35.3,0.356,30.6,56.6,0.541,17.4,21.5,0.807,10.3,33.7,44,26.5,7.1,4.2,12,19.2,116.4
22,Charlotte Hornets,82,240.6,43.4,87.7,0.494,13.6,36.2,0.377,29.7,51.5,0.577,16.5,20.7,0.796,10.6,34.8,45.4,28.7,7.1,4.8,13.6,17.5,116.8
23,Los Angeles Lakers*,82,242.1,44.4,93.7,0.474,14.3,37.9,0.376,30.2,55.8,0.54,14.3,18,0.795,10.9,33.2,44,28.2,8.2,4.8,13.4,19.7,117.4
24,San Antonio Spurs,82,241.8,44.9,92.3,0.487,12.7,34,0.373,32.2,58.3,0.553,16,20.5,0.784,10.5,34.8,45.3,28,8.9,4.6,13.4,17.9,118.6
25,Toronto Raptors,82,241.5,44.7,91.2,0.491,13.7,36.3,0.376,31.1,54.8,0.567,15.6,19.8,0.789,11.2,34,45.2,28.6,7.3,5.8,13.9,18.1,118.8
26,Detroit Pistons,82,240.9,43.6,89,0.49,12.1,32.7,0.37,31.5,56.3,0.56,19.6,24.5,0.8,9.6,33.5,43.1,27,8.9,6,12.4,17.8,119
27,Indiana Pacers*,82,240.3,44.5,89.8,0.496,10.7,29.3,0.365,33.9,60.5,0.56,20.5,26,0.787,11,32.4,43.4,24.6,6.6,5.4,13.9,18.3,120.2
28,Atlanta Hawks,82,242.1,44.6,90.2,0.495,14,36.4,0.384,30.6,53.7,0.57,17.3,21.8,0.792,10.6,33.6,44.2,28.2,7.8,5.6,14.1,19.4,120.5
29,Utah Jazz,82,241.5,44.6,91.6,0.487,14.8,37.4,0.395,29.8,54.1,0.55,16.6,21.6,0.771,11,31.3,42.2,29.8,8.6,6.4,12.3,19.2,120.5
30,Washington Wizards,82,240.6,46.1,92.9,0.496,12.3,33.9,0.362,33.8,59,0.573,18.6,24,0.777,12.1,36.8,48.9,29,8,6,14,18,123
